Country.of.Origin;Variety;Processing.Method;Moisture;Category.One.Defects;Color;Category.Two.Defects;altitude_mean_meters;Cupper.Points
Uganda;SL14;Washed / Wet;0.11;0;Green;1;1800;7.75
Thailand;Catimor;Washed / Wet;0.13;0;Bluish-Green;0;1200;7.67
Colombia;Caturra;Natural / Dry;0.12;4;Green;0;442;7.67
Tanzania, United Republic Of;Bourbon;Washed / Wet;0.13;0;Green;4;1600;7.58
Colombia;Caturra;Washed / Wet;0.12;0;Green;1;1813;7.58
Guatemala;Bourbon;Natural / Dry;0.1;0;Green;1;1219.2;7.5
Guatemala;Caturra;Washed / Wet;0.1;0;Green;2;1500;7.58
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;0;1310.64;7.58
Colombia;Caturra;Washed / Wet;0.11;0;Green;2;1450;7.67
Brazil;Catuai;Semi-washed / Semi-pulped;0.1;1;Green;5;1227;7.58
Mexico;Caturra;Washed / Wet;0.12;0;Green;2;1200;7.58
Colombia;Caturra;Washed / Wet;0.11;0;Green;1;1650;7.42
Costa Rica;Caturra;Washed / Wet;0.12;0;Green;3;1300;7.58
Costa Rica;Catuai;Washed / Wet;0.11;0;Green;3;1200;8
Haiti;Typica;Washed / Wet;0.11;0;Green;4;1280.16;7.83
Colombia;Caturra;Natural / Dry;0.11;0;Green;1;1000;7.5
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;3;1310.64;7.67
Colombia;Caturra;Washed / Wet;0;0;Green;1;1750;7.67
Mexico;Typica;Washed / Wet;0.11;0;Bluish-Green;0;1600;7.67
Costa Rica;Catuai;Pulped natural / honey;0.11;0;Green;0;1900;7.58
Guatemala;Pacas;Washed / Wet;0.11;0;Green;7;2100;7.67
Colombia;Caturra;Natural / Dry;0;0;Green;2;442;7.58
Mexico;Typica;Natural / Dry;0.12;0;Bluish-Green;2;1261;7.42
Taiwan;Bourbon;Washed / Wet;0.1;0;Bluish-Green;0;1000;7.58
Taiwan;Typica;Washed / Wet;0.1;0;Green;0;800;7.33
Colombia;Caturra;Natural / Dry;0;0;Green;0;1483;7.67
Guatemala;Caturra;Washed / Wet;0.1;0;Green;1;1500;7.67
Colombia;Caturra;Washed / Wet;0.11;0;Green;1;1750;7.58
Mexico;Bourbon;Washed / Wet;0.12;0;Green;6;1300;7.75
Mexico;Caturra;Washed / Wet;0.12;0;Bluish-Green;0;1000;7.58
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;9;1310.64;7.42
Brazil;Yellow Bourbon;Semi-washed / Semi-pulped;0.11;0;Bluish-Green;1;1200;7.58
Colombia;Caturra;Washed / Wet;0.12;0;Green;1;175;7.58
Colombia;Caturra;Washed / Wet;0.11;0;Green;0;1775;7.67
Brazil;Bourbon;Natural / Dry;0.11;0;Green;4;890;7.75
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;1;1901;7.67
Tanzania, United Republic Of;Bourbon;Washed / Wet;0.12;0;Green;3;168;7.58
Guatemala;Caturra;Washed / Wet;0.11;2;Green;3;1500;7.5
Honduras;Catuai;Washed / Wet;0.11;0;Bluish-Green;1;1450;7.5
China;Catimor;Washed / Wet;0.11;0;Green;0;1200;7.67
China;Catimor;Washed / Wet;0.1;0;Green;3;1600;7.67
El Salvador;Bourbon;Washed / Wet;0;0;Green;0;1350;7.5
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;1;1500;7.5
Guatemala;Bourbon;Washed / Wet;0.12;0;Green;3;1650;7.42
Kenya;SL28;Washed / Wet;0.1;0;Bluish-Green;1;250.5;7.83
Uganda;SL14;Washed / Wet;0.1;0;Bluish-Green;0;1800;7.67
Honduras;Catuai;Natural / Dry;0.1;0;Green;5;1450;7.67
Honduras;Caturra;Natural / Dry;0.11;0;Green;3;1350;7.5
Guatemala;Catuai;Washed / Wet;0.09;0;Green;1;1524;7.67
Tanzania, United Republic Of;Bourbon;Washed / Wet;0.12;0;Green;1;1800;7.58
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;2;1310.64;7.5
Mexico;Typica;Washed / Wet;0.11;0;Green;2;1500;7.75
Colombia;Caturra;Washed / Wet;0.11;1;Green;2;1775;7.25
Mexico;Typica;Washed / Wet;0.13;0;Green;5;700;7.58
Colombia;Caturra;Washed / Wet;0.11;0;Bluish-Green;0;1750;7.5
Brazil;Mundo Novo;Natural / Dry;0.12;0;Green;1;1000;7.5
Brazil;Mundo Novo;Natural / Dry;0.11;0;Green;4;950;7.67
Guatemala;Bourbon;Washed / Wet;0;0;Green;10;1402.08;7.5
Brazil;Mundo Novo;Semi-washed / Semi-pulped;0.12;0;Bluish-Green;3;1000;7.58
Colombia;Caturra;Washed / Wet;0;0;Green;4;1799;7.5
Brazil;Yellow Bourbon;Pulped natural / honey;0.11;0;Bluish-Green;2;905;7.58
Taiwan;Typica;Natural / Dry;0;0;Green;0;750;7.75
Brazil;Bourbon;Washed / Wet;0;0;Green;1;1200;7.67
Costa Rica;Catuai;Washed / Wet;0.1;0;Green;3;1300;7.5
Brazil;Bourbon;Natural / Dry;0;0;Green;4;890;7.5
Brazil;Bourbon;Natural / Dry;0.11;0;Green;5;894;7.58
Brazil;Bourbon;Natural / Dry;0.11;0;Bluish-Green;3;872;7.58
Uganda;Bourbon;Washed / Wet;0.12;0;Green;6;1473;7.58
Uganda;Bourbon;Natural / Dry;0.12;0;Green;8;1645;7.67
Guatemala;Catuai;Washed / Wet;0.11;0;Green;3;1550;7.42
Guatemala;Catuai;Washed / Wet;0.11;0;Green;2;1371.6;7.58
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;2;1500;7.33
Brazil;Catuai;Natural / Dry;0;0;Green;0;1000;7.58
Taiwan;Typica;Washed / Wet;0.08;0;Green;0;1200;7.17
Uganda;SL14;Washed / Wet;0.12;0;Green;0;1800;7.5
Guatemala;Bourbon;Washed / Wet;0.1;1;Green;0;1500;7.42
Costa Rica;Catuai;Washed / Wet;0.11;0;Green;3;1200;7.67
Brazil;Yellow Bourbon;Semi-washed / Semi-pulped;0.12;0;Bluish-Green;4;1250;7.5
Colombia;Caturra;Washed / Wet;0.11;1;Green;1;1775;8.25
Colombia;Caturra;Washed / Wet;0;0;Green;0;1750;7.58
Colombia;Caturra;Natural / Dry;0.11;0;Green;1;1000;7.5
Colombia;Caturra;Natural / Dry;0;0;Green;2;1000;7.58
Colombia;Caturra;Washed / Wet;0.11;1;Green;2;1775;7.67
Mexico;Typica;Washed / Wet;0.11;0;Green;20;750;7.58
Mexico;Typica;Semi-washed / Semi-pulped;0.11;0;Green;7;1200;7.83
Mexico;Bourbon;Washed / Wet;0.11;5;Green;8;1200;7.67
Colombia;Caturra;Washed / Wet;0;0;Green;4;1625;7.58
Colombia;Caturra;Washed / Wet;0.11;0;Green;0;1750;7.5
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;2;1371.6;7.33
Colombia;Caturra;Washed / Wet;0.12;0;Bluish-Green;0;1775;7.5
Brazil;Bourbon;Natural / Dry;0;0;Green;0;890;7.5
El Salvador;Bourbon;Washed / Wet;0;0;Green;1;1350;7.5
Colombia;Caturra;Washed / Wet;0.11;0;Green;1;1500;7.58
Taiwan;Caturra;Natural / Dry;0.09;31;Green;0;350;7.75
Ethiopia;Ethiopian Heirlooms;Washed / Wet;0;1;Bluish-Green;20;2000;7.58
Taiwan;Typica;Natural / Dry;0;0;Green;9;775;7.58
Mexico;Typica;Natural / Dry;0.13;0;Bluish-Green;3;1059;7.58
Mexico;Bourbon;Washed / Wet;0.12;2;Bluish-Green;8;1300;7.42
Uganda;SL14;Washed / Wet;0.12;0;Green;0;1650;7.58
Uganda;SL14;Washed / Wet;0.12;0;Green;4;1400;7.5
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;1;1500;7.5
Guatemala;Caturra;Natural / Dry;0.1;0;Green;2;1500;7.67
Colombia;Caturra;Washed / Wet;0.11;0;Green;2;1900;7.58
Colombia;Caturra;Natural / Dry;0;0;Bluish-Green;0;1750;7.67
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;2;1706.88;7.5
Mexico;Typica;Natural / Dry;0.1;0;Green;4;1248;7.83
Mexico;Typica;Washed / Wet;0.14;1;Green;4;1400;7.75
Kenya;SL28;Washed / Wet;0.1;0;Green;3;1754;7.5
Guatemala;Bourbon;Washed / Wet;0.11;1;Green;2;1700;7.58
Brazil;Yellow Bourbon;Pulped natural / honey;0.11;0;Bluish-Green;2;905;7.58
El Salvador;Pacas;Washed / Wet;0;0;Green;4;1250;7.33
Rwanda;Bourbon;Washed / Wet;0.11;0;Bluish-Green;0;1900;8
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;2;1219.2;7.5
Brazil;Catuai;Natural / Dry;0.12;2;Green;6;900;7.67
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;4;1500;7.5
Colombia;Typica;Natural / Dry;0;4;Green;4;1800;7.67
Colombia;Caturra;Washed / Wet;0.11;0;Green;3;1775;7.58
Tanzania, United Republic Of;Arusha;Washed / Wet;0.11;0;Green;5;1400;7.75
Mexico;Caturra;Washed / Wet;0.12;2;Green;10;1550;7.5
Mexico;Bourbon;Washed / Wet;0.12;0;Bluish-Green;7;1250;7.58
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;10;1310.64;7.42
Guatemala;Caturra;Washed / Wet;0.1;0;Green;3;1100;7.5
Guatemala;Caturra;Washed / Wet;0.11;0;Green;8;1800;7.5
Guatemala;Bourbon;Washed / Wet;0.11;0;Green;4;1700;7.5
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;1;1219.2;7.58
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;1;1219.2;7.67
Guatemala;Bourbon;Washed / Wet;0.12;0;Green;0;157.8864;7.67
Taiwan;Yellow Bourbon;Natural / Dry;0;0;Green;0;650;7.67
Costa Rica;Caturra;Washed / Wet;0.09;0;Bluish-Green;1;1850;7.67
Honduras;Caturra;Natural / Dry;0.09;0;Green;6;1400;7.67
Brazil;Yellow Bourbon;Pulped natural / honey;0.11;0;Bluish-Green;1;905;7.5
China;Catimor;Natural / Dry;0.1;0;Green;0;1100;7.58
China;Catimor;Washed / Wet;0.11;0;Green;2;1500;7.5
Colombia;Caturra;Washed / Wet;0;0;Bluish-Green;2;1775;7.5
Malawi;Gesha;Washed / Wet;0.12;0;Bluish-Green;0;1442;7.67
Guatemala;Pacas;Washed / Wet;0.13;0;Green;2;1524;7.42
Colombia;Typica;Washed / Wet;0.12;0;Green;0;165;7.67
Colombia;Caturra;Washed / Wet;0.1;0;Green;2;1300;7.5
Mexico;Typica;Washed / Wet;0.12;0;Green;6;1550;7.58
Colombia;Caturra;Washed / Wet;0;0;Bluish-Green;0;1625;7.5
Colombia;Caturra;Washed / Wet;0.11;0;Green;3;1775;7.42
Panama;Catuai;Washed / Wet;0;0;Green;4;1100;7.58
Brazil;Bourbon;Natural / Dry;0;0;Green;4;890;7.5
Brazil;Bourbon;Natural / Dry;0.11;0;Bluish-Green;3;934;7.5
Laos;Catimor;Washed / Wet;0.13;0;Bluish-Green;0;1300;7.58
El Salvador;Pacas;Washed / Wet;0;0;Green;7;1200;7.5
Tanzania, United Republic Of;Bourbon;Washed / Wet;0.12;0;Green;4;1550;7.58
Taiwan;Typica;Washed / Wet;0.08;0;Green;0;1200;7.08
Mexico;Typica;Natural / Dry;0.11;0;Green;0;1296;7.58
Uganda;SL14;Washed / Wet;0.12;0;Green;0;1650;7.5
Taiwan;Typica;Washed / Wet;0.11;0;Green;0;1240;7.5
Thailand;Caturra;Washed / Wet;0.11;0;Bluish-Green;0;1500;7.5
Colombia;Caturra;Washed / Wet;0.11;0;Bluish-Green;3;1800;7.42
Guatemala;Caturra;Washed / Wet;0.11;0;Green;0;1500;7.5
Guatemala;Bourbon;Washed / Wet;0.1;0;Green;2;1219.2;7.5
Taiwan;Typica;Pulped natural / honey;0.11;0;Green;0;1050;7.5
Indonesia;Typica;Semi-washed / Semi-pulped;0.13;0;Bluish-Green;6;1250;7.5
